ts,open,high,low,close,vol,date
1704054600,42439.59,42439.59,42303.76,42351.0,0.2257171406,2023-12-31 20:30:00
1704058200,42437.0,42437.0,42301.0,42362.98,0.1483916132,2023-12-31 21:30:00
1704061800,42301.0,42301.0,41905.0,41936.0,0.520666001,2023-12-31 22:30:00
1704065400,41936.0,42200.0,41920.0,42179.74,0.1250165378,2023-12-31 23:30:00
1704069000,42126.37,42362.85,42126.37,42362.85,0.2274521562,2024-01-01 00:30:00
1704072600,42363.0,42500.0,42363.0,42485.0,0.1928837609,2024-01-01 01:30:00
1704076200,42486.94,42486.94,42296.91,42296.91,0.1076997898,2024-01-01 02:30:00
1704079800,42145.01,42295.0,42032.0,42055.0,0.1938498849,2024-01-01 03:30:00
1704083400,42100.0,42255.0,42060.0,42243.07,0.1213055975,2024-01-01 04:30:00
1704087000,42242.45,42296.9,42060.0,42105.0,0.2654957636,2024-01-01 05:30:00
1704090600,42296.81,42296.81,42103.11,42249.0,0.1043901154,2024-01-01 06:30:00
1704094200,42110.0,42250.0,42110.0,42198.89,0.4171307021,2024-01-01 07:30:00
1704097800,42213.0,42399.99,42158.0,42399.99,0.3123393122,2024-01-01 08:30:00
1704101400,42399.99,42400.0,42295.01,42308.0,0.2328442161,2024-01-01 09:30:00
1704105000,42400.0,42485.0,42342.38,42353.25,0.2001498806,2024-01-01 10:30:00
1704108600,42400.0,42479.98,42350.0,42350.0,0.0907514984,2024-01-01 11:30:00
1704112200,42350.0,42447.0,42350.0,42378.64,0.2104765279,2024-01-01 12:30:00
1704115800,42378.65,42470.0,42350.28,42435.0,0.1431272002,2024-01-01 13:30:00
1704119400,42350.28,42430.0,42320.0,42420.0,0.1014311382,2024-01-01 14:30:00
1704123000,42415.0,42500.0,42331.62,42334.43,0.8098033531,2024-01-01 15:30:00
1704126600,42488.99,42489.0,42334.43,42423.67,0.1437064105,2024-01-01 16:30:00
1704130200,42411.44,42851.0,42399.96,42740.0,1.4390894219,2024-01-01 17:30:00
1704133800,42740.0,42987.0,42735.0,42986.89,1.2061025729,2024-01-01 18:30:00
1704137400,42987.0,43400.0,42848.45,43347.03,4.9221170885,2024-01-01 19:30:00
1704141000,43360.0,43424.03,43121.0,43332.25,2.6049316021,2024-01-01 20:30:00
1704144600,43335.0,43349.98,43156.0,43159.63,0.7226554595,2024-01-01 21:30:00
1704148200,43160.0,43500.0,43159.63,43500.0,1.5827773902,2024-01-01 22:30:00
1704151800,43500.0,44400.0,43500.0,44293.84,8.0741210196,2024-01-01 23:30:00
1704155400,44293.84,44890.0,44002.03,44588.22,5.8750543403,2024-01-02 00:30:00
